"raw_portfolio","ftp_category","ftp_model_portfolio","ftp_curve","behavioral_model","liquidity_treatment","funding_role","notes"
"central_bank_cash","liquidity_buffer","central_bank_cash","central_bank_remuneration","contractual_overnight","liquidity_buffer","asset_uses_funding","Immediately available central bank liquidity."
"vault_and_operational_cash","liquidity_buffer","operational_cash","zero_or_administered_rate","operational_minimum_cash","operational_liquidity","asset_uses_funding","Operational cash balances."
"bank_placements_overnight","interbank_assets","overnight_bank_placement","overnight_index_curve","contractual_overnight","short_term_liquidity","asset_uses_funding","Short-term bank placement."
"bank_placements_term","interbank_assets","term_bank_placement","money_market_curve","contractual_term","short_term_liquidity","asset_uses_funding","Term bank placement."
"reverse_repo_trading","secured_financing","reverse_repo_trading","secured_funding_curve","contractual_collateralized","secured_liquidity","asset_uses_funding","Collateralized trading reverse repo."
"reverse_repo_treasury","secured_financing","reverse_repo_treasury","secured_funding_curve","contractual_collateralized","liquidity_deployment","asset_uses_funding","Collateralized Treasury reverse repo."
"rates_trading_assets","trading_inventory","rates_trading_inventory","markets_funding_curve","desk_turnover","market_liquidity_buffer","asset_uses_funding","Rates trading inventory."
"credit_trading_assets","trading_inventory","credit_trading_inventory","markets_funding_curve","desk_turnover","market_liquidity_buffer","asset_uses_funding","Credit trading inventory."
"equity_trading_assets","trading_inventory","equity_trading_inventory","markets_funding_curve","desk_turnover","market_liquidity_buffer","asset_uses_funding","Equity trading inventory."
"fx_other_trading_assets","trading_inventory","fx_other_trading_inventory","markets_funding_curve","desk_turnover","market_liquidity_buffer","asset_uses_funding","FX and other trading inventory."
"cleared_derivative_assets","derivatives","cleared_derivative_asset","collateral_curve","collateralized_exposure","collateral_liquidity","asset_uses_funding","Cleared derivative asset MTM."
"otc_derivative_assets","derivatives","otc_derivative_asset","collateral_curve","collateralized_exposure","collateral_liquidity","asset_uses_funding","OTC derivative asset MTM."
"fair_value_loans","fair_value_assets","fair_value_lending","markets_funding_curve","portfolio_dependent","market_liquidity_buffer","asset_uses_funding","Fair value lending assets."
"fair_value_securities","fair_value_assets","fair_value_securities","markets_funding_curve","portfolio_dependent","market_liquidity_buffer","asset_uses_funding","Fair value securities."
"hqla_bonds","liquidity_investment_portfolio","hqla_bonds","term_liquidity_investment_curve","hold_to_collect_and_sell","hqla","asset_uses_funding","HQLA investment portfolio."
"other_liquidity_securities","liquidity_investment_portfolio","other_liquidity_securities","term_liquidity_investment_curve","hold_to_collect_and_sell","hqla_or_liquid_asset","asset_uses_funding","Other liquidity securities."
"residential_mortgages_fixed","residential_mortgages","residential_mortgages_fixed","matched_swap_curve","prepayment_model","term_liquidity_charge","asset_uses_funding","Fixed-rate residential mortgage book."
"residential_mortgages_floating","residential_mortgages","residential_mortgages_floating","floating_loan_curve","prepayment_model","term_liquidity_charge","asset_uses_funding","Floating-rate residential mortgage book."
"corporate_term_loans","corporate_lending","corporate_term_loans","corporate_loan_ftp_curve","contractual_with_refinancing","term_liquidity_charge","asset_uses_funding","Corporate term lending."
"corporate_revolving_credit","corporate_lending","corporate_revolving_credit","revolver_ftp_curve","utilization_model","contingent_liquidity_charge","asset_uses_funding","Corporate revolver balances."
"trade_finance_loans","trade_finance","trade_finance","short_term_loan_curve","self_liquidating","short_term_liquidity_charge","asset_uses_funding","Trade finance balances."
"consumer_finance_loans","consumer_lending","consumer_finance","consumer_loan_curve","amortizing","term_liquidity_charge","asset_uses_funding","Consumer lending balances."
"premises_and_equipment","structural_assets","premises_and_equipment","equity_or_capital_allocation","structural","structural_funding","asset_uses_funding","Non-interest earning structural asset."
"tax_assets","structural_assets","tax_assets","equity_or_capital_allocation","structural","structural_funding","asset_uses_funding","Tax asset."
"goodwill_and_intangibles","structural_assets","goodwill_and_intangibles","equity_or_capital_allocation","structural","structural_funding","asset_uses_funding","Goodwill and intangible assets."
"settlement_and_other_assets","operating_assets","settlement_and_other_assets","operational_funding_curve","operational_balance","operational_liquidity","asset_uses_funding","Operating asset balances."
"other_assets","operating_assets","other_assets","operational_funding_curve","operational_balance","operational_liquidity","asset_uses_funding","Other asset balances."
"retail_current_accounts","retail_deposits","retail_current_accounts","retail_nmd_curve","retail_nmd_replication","liquidity_credit","liability_provides_funding","Stable retail current accounts."
"retail_savings_accounts","retail_deposits","retail_savings_accounts","retail_nmd_curve","retail_nmd_replication","liquidity_credit","liability_provides_funding","Stable retail savings accounts."
"retail_term_deposits","retail_deposits","retail_term_deposits","retail_term_deposit_curve","contractual_term_deposit","liquidity_credit","liability_provides_funding","Retail term deposits."
"corporate_operating_deposits","corporate_deposits","corporate_operating_deposits","corporate_nmd_curve","operational_deposit_model","liquidity_credit","liability_provides_funding","Corporate operating deposits."
"corporate_term_deposits","corporate_deposits","corporate_term_deposits","corporate_term_deposit_curve","contractual_term_deposit","liquidity_credit","liability_provides_funding","Corporate term deposits."
"financial_institution_deposits","wholesale_deposits","financial_institution_deposits","wholesale_deposit_curve","rate_sensitive_deposit_model","limited_liquidity_credit","liability_provides_funding","Rate-sensitive FI deposits."
"repo_funding","secured_funding","repo_funding","secured_funding_curve","contractual_collateralized","secured_funding","liability_provides_funding","Secured repo funding."
"rates_trading_liabilities","trading_inventory_funding","rates_trading_liabilities","markets_funding_curve","desk_turnover","market_liquidity_buffer","liability_provides_funding","Rates trading liabilities."
"credit_trading_liabilities","trading_inventory_funding","credit_trading_liabilities","markets_funding_curve","desk_turnover","market_liquidity_buffer","liability_provides_funding","Credit trading liabilities."
"equity_trading_liabilities","trading_inventory_funding","equity_trading_liabilities","markets_funding_curve","desk_turnover","market_liquidity_buffer","liability_provides_funding","Equity trading liabilities."
"fx_other_trading_liabilities","trading_inventory_funding","fx_other_trading_liabilities","markets_funding_curve","desk_turnover","market_liquidity_buffer","liability_provides_funding","FX and other trading liabilities."
"cleared_derivative_liabilities","derivatives","cleared_derivative_liability","collateral_curve","collateralized_exposure","collateral_liquidity","liability_provides_funding","Cleared derivative liability MTM."
"otc_derivative_liabilities","derivatives","otc_derivative_liability","collateral_curve","collateralized_exposure","collateral_liquidity","liability_provides_funding","OTC derivative liability MTM."
"structured_notes_fair_value","fair_value_funding","structured_notes_fair_value","structured_note_curve","structured_funding","market_funding","liability_provides_funding","Structured note funding."
"investment_contract_liabilities","fair_value_funding","investment_contract_liabilities","investment_contract_curve","insurance_like_balance","market_funding","liability_provides_funding","Investment contract liabilities."
"other_fair_value_funding","fair_value_funding","other_fair_value_funding","market_funding_curve","structured_funding","market_funding","liability_provides_funding","Other fair value funding."
"commercial_paper","short_term_wholesale_funding","commercial_paper","money_market_curve","contractual_short_term","wholesale_funding","liability_provides_funding","Commercial paper funding."
"certificates_of_deposit","short_term_wholesale_funding","certificates_of_deposit","money_market_curve","contractual_short_term","wholesale_funding","liability_provides_funding","Certificates of deposit."
"other_short_term_borrowings","short_term_wholesale_funding","other_short_term_borrowings","money_market_curve","contractual_short_term","wholesale_funding","liability_provides_funding","Other short-term wholesale funding."
"settlement_payables","operating_liabilities","settlement_payables","operational_funding_curve","operational_balance","operational_liquidity","liability_provides_funding","Settlement payables."
"accruals_and_expense_payables","operating_liabilities","accruals_and_expense_payables","operational_funding_curve","operational_balance","operational_liquidity","liability_provides_funding","Accruals and expense payables."
"provisions","structural_liabilities","provisions","equity_or_capital_allocation","structural","structural_funding","liability_provides_funding","Provisions."
"tax_liabilities","structural_liabilities","tax_liabilities","equity_or_capital_allocation","structural","structural_funding","liability_provides_funding","Tax liabilities."
"other_liabilities","operating_liabilities","other_liabilities","operational_funding_curve","operational_balance","operational_liquidity","liability_provides_funding","Other liabilities."
"senior_unsecured_debt","long_term_wholesale_funding","senior_unsecured_debt","term_unsecured_funding_curve","contractual_term_funding","wholesale_funding","liability_provides_funding","Senior unsecured debt."
"covered_bonds","long_term_wholesale_funding","covered_bonds","covered_bond_curve","contractual_term_funding","secured_funding","liability_provides_funding","Covered bonds."
"subordinated_debt","capital_funding","subordinated_debt","subordinated_debt_curve","contractual_term_funding","capital_funding","liability_provides_funding","Subordinated debt."
"trust_preferred_securities","capital_funding","trust_preferred_securities","subordinated_debt_curve","contractual_term_funding","capital_funding","liability_provides_funding","Trust preferred securities."
